t = 9.5e-12, u =     996.556 1.11854e+08 2.49421e+22     683.444 2.49421e+22       15245, Te = 1323.11, T = 300
t = 9.6e-12, u =     996.556 1.11854e+08  2.5206e+22     694.018  2.5206e+22     15406.3, Te = 1329.51, T = 300
t = 9.7e-12, u =     996.556 1.11854e+08 2.54699e+22     704.658 2.54699e+22     15567.6, Te = 1335.91, T = 300
t = 9.8e-12, u =     996.556 1.11854e+08 2.57339e+22     715.363 2.57339e+22     15728.9, Te = 1342.29, T = 300
t = 9.9e-12, u =     996.556 1.11854e+08 2.59978e+22     726.133 2.59978e+22     15890.2, Te = 1348.67, T = 300
t = 1e-11, u =     996.556 1.11854e+08 2.62618e+22     736.967 2.62618e+22     16051.6, Te = 1355.03, T = 300
t = 1.01e-11, u =     996.555 1.11854e+08 2.65257e+22     747.866 2.65257e+22     16212.9, Te = 1361.39, T = 300
t = 1.02e-11, u =     996.555 1.11854e+08 2.67896e+22     758.828 2.67896e+22     16374.2, Te = 1367.74, T = 300
t = 1.03e-11, u =     996.555 1.11854e+08 2.70536e+22     769.853 2.70536e+22     16535.5, Te = 1374.07, T = 300
t = 1.04e-11, u =     996.555 1.11854e+08 2.73175e+22     780.942 2.73175e+22     16696.8, Te = 1380.39, T = 300
t = 1.05e-11, u =     996.555 1.11854e+08 2.75814e+22     792.093 2.75814e+22     16858.2, Te = 1386.71, T = 300
t = 1.06e-11, u =     996.555 1.11854e+08 2.78454e+22     803.306 2.78454e+22     17019.5, Te = 1393.01, T = 300
t = 1.07e-11, u =     996.555 1.11854e+08 2.81093e+22     814.582 2.81093e+22     17180.8, Te = 1399.3, T = 300
t = 1.08e-11, u =     996.555 1.11854e+08 2.83732e+22     825.919 2.83732e+22     17342.1, Te = 1405.57, T = 300
t = 1.09e-11, u =     996.555 1.11854e+08 2.86372e+22     837.317 2.86372e+22     17503.4, Te = 1411.84, T = 300
t = 1.1e-11, u =     996.555 1.11854e+08 2.89011e+22     848.776 2.89011e+22     17664.8, Te = 1418.09, T = 300
t = 1.11e-11, u =     996.555 1.11854e+08  2.9165e+22     860.295  2.9165e+22     17826.1, Te = 1424.33, T = 300
t = 1.12e-11, u =     996.555 1.11854e+08  2.9429e+22     871.875  2.9429e+22     17987.4, Te = 1430.56, T = 300
t = 1.13e-11, u =     996.555 1.11854e+08 2.96929e+22     883.514 2.96929e+22     18148.7, Te = 1436.77, T = 300
t = 1.14e-11, u =     996.555 1.11854e+08 2.99568e+22     895.213 2.99568e+22       18310, Te = 1442.97, T = 300
t = 1.15e-11, u =     996.555 1.11854e+08 3.02208e+22     906.972 3.02208e+22     18471.4, Te = 1449.15, T = 300
t = 1.16e-11, u =     996.555 1.11854e+08 3.04847e+22     918.789 3.04847e+22     18632.7, Te = 1455.32, T = 300
t = 1.17e-11, u =     996.555 1.11854e+08 3.07486e+22     930.664 3.07486e+22       18794, Te = 1461.48, T = 300
t = 1.18e-11, u =     996.555 1.11854e+08 3.10126e+22     942.597 3.10126e+22     18955.3, Te = 1467.62, T = 300
t = 1.19e-11, u =     996.555 1.11854e+08 3.12765e+22     954.589 3.12765e+22     19116.6, Te = 1473.75, T = 300
t = 1.2e-11, u =     996.555 1.11855e+08 3.15404e+22     966.638 3.15404e+22       19278, Te = 1479.86, T = 300
t = 1.21e-11, u =     996.555 1.11855e+08 3.18044e+22     978.744 3.18044e+22     19439.3, Te = 1485.96, T = 300
t = 1.22e-11, u =     996.555 1.11855e+08 3.20683e+22     990.906 3.20683e+22     19600.6, Te = 1492.05, T = 300
t = 1.23e-11, u =     996.555 1.11855e+08 3.23322e+22     1003.13 3.23322e+22     19761.9, Te = 1498.12, T = 300
