t = 2.15e-12, u =     996.556 1.11853e+08 5.60871e+21     105.682 5.60871e+21     3428.12, Te = 909.839, T = 300
t = 2.2e-12, u =     996.556 1.11853e+08 5.74068e+21     108.343 5.74068e+21     3508.78, Te = 911.301, T = 300
t = 2.25e-12, u =     996.556 1.11853e+08 5.87265e+21     111.016 5.87265e+21     3589.44, Te = 912.802, T = 300
t = 2.3e-12, u =     996.556 1.11853e+08 6.00462e+21     113.702 6.00462e+21     3670.11, Te = 914.341, T = 300
t = 2.35e-12, u =     996.556 1.11853e+08 6.13658e+21     116.401 6.13658e+21     3750.77, Te = 915.918, T = 300
t = 2.4e-12, u =     996.556 1.11853e+08 6.26855e+21     119.114 6.26855e+21     3831.43, Te = 917.533, T = 300
t = 2.45e-12, u =     996.556 1.11853e+08 6.40052e+21     121.841 6.40052e+21     3912.09, Te = 919.185, T = 300
t = 2.5e-12, u =     996.556 1.11853e+08 6.53249e+21     124.581 6.53249e+21     3992.75, Te = 920.873, T = 300
t = 2.55e-12, u =     996.556 1.11853e+08 6.66446e+21     127.336 6.66446e+21     4073.41, Te = 922.597, T = 300
t = 2.6e-12, u =     996.556 1.11853e+08 6.79643e+21     130.105 6.79643e+21     4154.07, Te = 924.356, T = 300
t = 2.65e-12, u =     996.556 1.11853e+08  6.9284e+21     132.889  6.9284e+21     4234.74, Te = 926.151, T = 300
t = 2.7e-12, u =     996.556 1.11853e+08 7.06037e+21     135.688 7.06037e+21      4315.4, Te = 927.979, T = 300
t = 2.75e-12, u =     996.556 1.11853e+08 7.19234e+21     138.501 7.19234e+21     4396.06, Te = 929.842, T = 300
t = 2.8e-12, u =     996.556 1.11853e+08 7.32431e+21      141.33 7.32431e+21     4476.72, Te = 931.738, T = 300
t = 2.85e-12, u =     996.556 1.11853e+08 7.45628e+21     144.174 7.45628e+21     4557.38, Te = 933.666, T = 300
t = 2.9e-12, u =     996.556 1.11853e+08 7.58825e+21     147.034 7.58825e+21     4638.04, Te = 935.627, T = 300
t = 2.95e-12, u =     996.556 1.11853e+08 7.72022e+21      149.91 7.72022e+21      4718.7, Te = 937.62, T = 300
t = 3e-12, u =     996.556 1.11853e+08 7.85219e+21     152.802 7.85219e+21     4799.37, Te = 939.644, T = 300
t = 3.05e-12, u =     996.556 1.11853e+08 7.98415e+21      155.71 7.98415e+21     4880.03, Te = 941.699, T = 300
t = 3.1e-12, u =     996.556 1.11853e+08 8.11612e+21     158.634 8.11612e+21     4960.69, Te = 943.784, T = 300
t = 3.15e-12, u =     996.556 1.11853e+08 8.24809e+21     161.574 8.24809e+21     5041.35, Te = 945.899, T = 300
t = 3.2e-12, u =     996.556 1.11853e+08 8.38006e+21     164.532 8.38006e+21     5122.01, Te = 948.043, T = 300
t = 3.25e-12, u =     996.556 1.11853e+08 8.51203e+21     167.506 8.51203e+21     5202.67, Te = 950.215, T = 300
t = 3.3e-12, u =     996.556 1.11853e+08   8.644e+21     170.497   8.644e+21     5283.33, Te = 952.416, T = 300
t = 3.35e-12, u =     996.556 1.11853e+08 8.77597e+21     173.505 8.77597e+21        5364, Te = 954.645, T = 300
t = 3.4e-12, u =     996.556 1.11853e+08 8.90794e+21      176.53 8.90794e+21     5444.66, Te = 956.9, T = 300
t = 3.45e-12, u =     996.556 1.11853e+08 9.03991e+21     179.573 9.03991e+21     5525.32, Te = 959.183, T = 300
t = 3.5e-12, u =     996.556 1.11853e+08 9.17188e+21     182.633 9.17188e+21     5605.98, Te = 961.491, T = 300
t = 3.55e-12, u =     996.556 1.11853e+08 9.30385e+21      185.71 9.30385e+21     5686.64, Te = 963.826, T = 300
t = 3.6e-12, u =     996.556 1.11853e+08 9.43582e+21     188.805 9.43582e+21      5767.3, Te = 966.185, T = 300
t = 3.65e-12, u =     996.556 1.11853e+08 9.56778e+21     191.918 9.56778e+21     5847.96, Te = 968.569, T = 300
t = 3.7e-12, u =     996.556 1.11853e+08 9.69975e+21     195.049 9.69975e+21     5928.63, Te = 970.978, T = 300
t = 3.75e-12, u =     996.556 1.11853e+08 9.83172e+21     198.198 9.83172e+21     6009.29, Te = 973.41, T = 300
t = 3.8e-12, u =     996.556 1.11853e+08 9.96369e+21     201.365 9.96369e+21     6089.95, Te = 975.865, T = 300
t = 3.85e-12, u =     996.556 1.11853e+08 1.00957e+22     204.551 1.00957e+22     6170.61, Te = 978.344, T = 300
t = 3.9e-12, u =     996.556 1.11853e+08 1.02276e+22     207.754 1.02276e+22     6251.27, Te = 980.845, T = 300
t = 3.95e-12, u =     996.556 1.11853e+08 1.03596e+22     210.976 1.03596e+22     6331.93, Te = 983.367, T = 300
t = 4e-12, u =     996.556 1.11853e+08 1.04916e+22     214.216 1.04916e+22     6412.59, Te = 985.911, T = 300
t = 4.05e-12, u =     996.556 1.11853e+08 1.06235e+22     217.475 1.06235e+22     6493.26, Te = 988.476, T = 300
t = 4.1e-12, u =     996.556 1.11853e+08 1.07555e+22     220.753 1.07555e+22     6573.92, Te = 991.062, T = 300
