t = 1.04e-11, u =     996.555 1.11854e+08 2.74495e+22     786.494 2.74495e+22     16777.5, Te = 1383.52, T = 300
t = 1.05e-11, u =     996.555 1.11854e+08 2.77134e+22     797.676 2.77134e+22     16938.8, Te = 1389.83, T = 300
t = 1.06e-11, u =     996.555 1.11854e+08 2.79773e+22     808.921 2.79773e+22     17100.1, Te = 1396.13, T = 300
t = 1.07e-11, u =     996.555 1.11854e+08 2.82413e+22     820.227 2.82413e+22     17261.5, Te = 1402.41, T = 300
t = 1.08e-11, u =     996.555 1.11854e+08 2.85052e+22     831.595 2.85052e+22     17422.8, Te = 1408.68, T = 300
t = 1.09e-11, u =     996.555 1.11854e+08 2.87691e+22     843.023 2.87691e+22     17584.1, Te = 1414.94, T = 300
t = 1.1e-11, u =     996.555 1.11854e+08 2.90331e+22     854.513 2.90331e+22     17745.4, Te = 1421.19, T = 300
t = 1.11e-11, u =     996.555 1.11854e+08  2.9297e+22     866.062  2.9297e+22     17906.7, Te = 1427.42, T = 300
t = 1.12e-11, u =     996.555 1.11854e+08 2.95609e+22     877.672 2.95609e+22     18068.1, Te = 1433.64, T = 300
t = 1.13e-11, u =     996.555 1.11854e+08 2.98249e+22     889.342 2.98249e+22     18229.4, Te = 1439.84, T = 300
t = 1.14e-11, u =     996.555 1.11854e+08 3.00888e+22      901.07 3.00888e+22     18390.7, Te = 1446.04, T = 300
t = 1.15e-11, u =     996.555 1.11854e+08 3.03527e+22     912.858 3.03527e+22       18552, Te = 1452.22, T = 300
t = 1.16e-11, u =     996.555 1.11854e+08 3.06167e+22     924.704 3.06167e+22     18713.3, Te = 1458.38, T = 300
t = 1.17e-11, u =     996.555 1.11854e+08 3.08806e+22     936.609 3.08806e+22     18874.7, Te = 1464.53, T = 300
t = 1.18e-11, u =     996.555 1.11854e+08 3.11445e+22     948.571 3.11445e+22       19036, Te = 1470.66, T = 300
t = 1.19e-11, u =     996.555 1.11855e+08 3.14085e+22     960.592 3.14085e+22     19197.3, Te = 1476.79, T = 300
t = 1.2e-11, u =     996.555 1.11855e+08 3.16724e+22     972.669 3.16724e+22     19358.6, Te = 1482.89, T = 300
t = 1.21e-11, u =     996.555 1.11855e+08 3.19363e+22     984.804 3.19363e+22     19519.9, Te = 1488.98, T = 300
t = 1.22e-11, u =     996.555 1.11855e+08 3.22003e+22     996.995 3.22003e+22     19681.3, Te = 1495.06, T = 300
t = 1.23e-11, u =     996.555 1.11855e+08 3.24642e+22     1009.24 3.24642e+22     19842.6, Te = 1501.12, T = 300
t = 1.24e-11, u =     996.555 1.11855e+08 3.27281e+22     1021.55 3.27281e+22     20003.9, Te = 1507.17, T = 300
t = 1.25e-11, u =     996.555 1.11855e+08 3.29921e+22      1033.9 3.29921e+22     20165.2, Te = 1513.2, T = 300
t = 1.26e-11, u =     996.555 1.11855e+08  3.3256e+22     1046.32  3.3256e+22     20326.5, Te = 1519.22, T = 300
t = 1.27e-11, u =     996.555 1.11855e+08 3.35199e+22     1058.79 3.35199e+22     20487.8, Te = 1525.22, T = 300
t = 1.28e-11, u =     996.555 1.11855e+08 3.37839e+22     1071.31 3.37839e+22     20649.2, Te = 1531.2, T = 300
t = 1.29e-11, u =     996.555 1.11855e+08 3.40478e+22     1083.89 3.40478e+22     20810.5, Te = 1537.17, T = 300
t = 1.3e-11, u =     996.555 1.11855e+08 3.43117e+22     1096.53 3.43117e+22     20971.8, Te = 1543.13, T = 300
t = 1.31e-11, u =     996.555 1.11855e+08 3.45757e+22     1109.21 3.45757e+22     21133.1, Te = 1549.07, T = 300
t = 1.32e-11, u =     996.555 1.11855e+08 3.48396e+22     1121.95 3.48396e+22     21294.4, Te = 1554.99, T = 300
t = 1.33e-11, u =     996.555 1.11855e+08 3.51035e+22     1134.75 3.51035e+22     21455.8, Te = 1560.9, T = 300
t = 1.34e-11, u =     996.555 1.11855e+08 3.53674e+22     1147.59 3.53674e+22     21617.1, Te = 1566.79, T = 300
t = 1.35e-11, u =     996.555 1.11855e+08 3.56314e+22     1160.49 3.56314e+22     21778.4, Te = 1572.66, T = 300
t = 1.36e-11, u =     996.555 1.11855e+08 3.58953e+22     1173.44 3.58953e+22     21939.7, Te = 1578.52, T = 300
t = 1.37e-11, u =     996.555 1.11855e+08 3.61592e+22     1186.45 3.61592e+22       22101, Te = 1584.36, T = 300
t = 1.38e-11, u =     996.555 1.11855e+08 3.64232e+22      1199.5 3.64232e+22     22262.4, Te = 1590.19, T = 300
t = 1.39e-11, u =     996.555 1.11855e+08 3.66871e+22     1212.61 3.66871e+22     22423.7, Te = 1596, T = 300
t = 1.4e-11, u =     996.555 1.11855e+08  3.6951e+22     1225.77  3.6951e+22       22585, Te = 1601.8, T = 300
t = 1.41e-11, u =     996.555 1.11855e+08  3.7215e+22     1238.98  3.7215e+22     22746.3, Te = 1607.58, T = 300
t = 1.42e-11, u =     996.555 1.11855e+08 3.74789e+22     1252.24 3.74789e+22     22907.6, Te = 1613.34, T = 300
t = 1.43e-11, u =     996.555 1.11855e+08 3.77428e+22     1265.55 3.77428e+22       23069, Te = 1619.09, T = 300
